name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,category,n_observations,source,food_id,protein_density,fiber_density,protein_frac,carb_frac,fat_frac
"Yogurt, Greek, strawberry, nonfat",breakfast,83.0,8.06,12.2,0.15,0.6,0.0,32.0,4.0,USDA,1,USDA FoodData Central (per 100 g),yogurt_greek_strawberry_nonfat__breakfast,9.710843373493978,0.7228915662650601,0.39130962495448485,0.592304891370312,0.016385483675203302
Za'atar (1 tbsp),breakfast,40.0,1.0,3.0,3.0,1.5,0.0,150.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,za_atar_1_tbsp__breakfast,2.5,3.75,0.09302325581395349,0.27906976744186046,0.627906976744186
Aioli (Garlic 1 tbsp),dinner,95.0,0.1,0.5,10.5,0.0,0.1,70.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,aioli_garlic_1_tbsp__dinner,0.10526315789473684,0.0,0.0041279669762641896,0.02063983488132095,0.9752321981424148
Angel Hair Pasta (1 cup),dinner,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,angel_hair_pasta_1_cup__dinner,3.5000000000000004,1.0,0.13658536585365855,0.8195121951219512,0.04390243902439024
Artichoke (1 medium steamed),dinner,60.0,4.2,13.4,0.2,6.9,1.2,112.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,artichoke_1_medium_steamed__dinner,7.000000000000001,11.5,0.23268698060941828,0.7423822714681441,0.024930747922437674
Asparagus (1 cup steamed),dinner,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,Vegetable,2,Kaggle Daily Food & Nutrition,asparagus_1_cup_steamed__dinner,10.75,9.0,0.3412698412698413,0.5873015873015873,0.07142857142857144
Asparagus (6 spears roasted),dinner,40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,asparagus_6_spears_roasted__dinner,10.0,7.5,0.32,0.32,0.36
Baked Potato (medium),dinner,160.0,4.3,36.0,0.2,3.8,1.0,17.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,baked_potato_medium__dinner,2.6875,2.375,0.10552147239263804,0.8834355828220859,0.011042944785276074
Beef Burrito (large),dinner,650.0,30.0,70.0,28.0,10.0,5.0,1400.0,70.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,beef_burrito_large__dinner,4.615384615384616,1.5384615384615385,0.18404907975460122,0.4294478527607362,0.38650306748466257
Beef Pho (1 large bowl),dinner,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,Meal/Soup,1,Kaggle Daily Food & Nutrition,beef_pho_1_large_bowl__dinner,6.666666666666667,0.8888888888888888,0.26785714285714285,0.49107142857142855,0.24107142857142858
Beef Steak (6oz sirloin),dinner,270.0,42.0,0.0,10.0,0.0,0.0,90.0,115.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,beef_steak_6oz_sirloin__dinner,15.555555555555555,0.0,0.6511627906976745,0.0,0.3488372093023256
Beef Stroganoff (1.5 cups),dinner,550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,beef_stroganoff_1_5_cups__dinner,5.454545454545454,0.7272727272727273,0.22556390977443608,0.3007518796992481,0.47368421052631576
Beef Tacos (2 hard shell),dinner,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,Meal/Meat,2,Kaggle Daily Food & Nutrition,beef_tacos_2_hard_shell__dinner,4.736842105263158,1.3157894736842104,0.18848167539267016,0.2931937172774869,0.518324607329843
Beef Wellington (1 slice),dinner,600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,beef_wellington_1_slice__dinner,5.0,0.6666666666666667,0.19933554817275748,0.23255813953488372,0.5681063122923588
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",dinner,176.0,27.7,0.0,6.36,0.0,0.0,54.0,85.0,USDA,1,USDA FoodData Central (per 100 g),beef_loin_tenderloin_roast_separable_lean_only_boneless_trim__dinner,15.738636363636363,0.0,0.6593668174244228,0.0,0.3406331825755773
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",dinner,155.0,22.8,0.0,6.39,0.0,0.0,45.0,58.0,USDA,1,USDA FoodData Central (per 100 g),beef_loin_top_loin_steak_boneless_lip_on_separable_lean_only__dinner,14.709677419354838,0.0,0.6132741577567077,0.0,0.38672584224329226
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",dinner,122.0,23.4,0.0,2.48,0.0,0.0,50.0,62.0,USDA,1,USDA FoodData Central (per 100 g),beef_round_eye_of_round_roast_boneless_separable_lean_only_t__dinner,19.18032786885246,0.0,0.8074534161490684,0.0,0.1925465838509317
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",dinner,123.0,23.7,0.0,2.41,0.0,0.0,55.0,63.0,USDA,1,USDA FoodData Central (per 100 g),beef_round_top_round_roast_boneless_separable_lean_only_trim__dinner,19.26829268292683,0.0,0.8138037599793974,0.0,0.18619624002060264
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",dinner,145.0,22.7,0.0,5.32,0.0,0.0,43.0,57.0,USDA,1,USDA FoodData Central (per 100 g),beef_short_loin_porterhouse_steak_separable_lean_only_trimme__dinner,15.655172413793103,0.0,0.6547447360830689,0.0,0.34525526391693107
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",dinner,219.0,27.3,0.0,11.4,0.0,0.0,67.0,80.0,USDA,1,USDA FoodData Central (per 100 g),beef_short_loin_t_bone_steak_bone_in_separable_lean_only_tri__dinner,12.465753424657535,0.0,0.5155807365439093,0.0,0.48441926345609065
Bell Peppers & Onions (sautéed),dinner,60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,bell_peppers_onions_saut_ed__dinner,2.5,5.0,0.09375,0.625,0.28125
Biryani (Chicken 1.5 cups),dinner,520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,biryani_chicken_1_5_cups__dinner,5.384615384615385,0.9615384615384616,0.2178988326848249,0.4669260700389105,0.3151750972762646
Bobotie (1 serving),dinner,450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,bobotie_1_serving__dinner,5.555555555555555,1.1111111111111112,0.2247191011235955,0.2696629213483146,0.5056179775280899
Breadstick (1 large),dinner,160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,breadstick_1_large__dinner,2.5,0.625,0.1032258064516129,0.7225806451612903,0.17419354838709677
Burger (cheeseburger),dinner,550.0,30.0,40.0,30.0,3.0,7.0,1100.0,90.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,burger_cheeseburger__dinner,5.454545454545454,0.5454545454545455,0.21818181818181817,0.2909090909090909,0.4909090909090909
Cabbage Slaw (side),dinner,60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,Vegetable,1,Kaggle Daily Food & Nutrition,cabbage_slaw_side__dinner,1.6666666666666667,3.3333333333333335,0.06349206349206349,0.5079365079365079,0.42857142857142855
Cacio e Pepe (1.5 cups),dinner,500.0,18.0,65.0,19.0,4.0,3.0,700.0,50.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,cacio_e_pepe_1_5_cups__dinner,3.5999999999999996,0.8,0.14314115308151093,0.5168986083499006,0.3399602385685885
Calamari (fried 3oz),dinner,150.0,13.0,8.0,7.0,1.0,1.0,600.0,220.0,Meal/Seafood,1,Kaggle Daily Food & Nutrition,calamari_fried_3oz__dinner,8.666666666666668,0.6666666666666667,0.35374149659863946,0.21768707482993196,0.42857142857142855
Cannellini Beans (1/2 cup in soup),dinner,105.0,7.0,20.0,0.5,6.0,1.0,230.0,0.0,Legume,1,Kaggle Daily Food & Nutrition,cannellini_beans_1_2_cup_in_soup__dinner,6.666666666666667,5.714285714285714,0.24888888888888888,0.7111111111111111,0.04
Caponata (1/2 cup),dinner,180.0,2.0,15.0,14.0,5.0,9.0,400.0,0.0,Meal/Vegetable,1,Kaggle Daily Food & Nutrition,caponata_1_2_cup__dinner,1.1111111111111112,2.7777777777777777,0.041237113402061855,0.30927835051546393,0.6494845360824743
Carbonara (1.5 cups),dinner,650.0,25.0,60.0,35.0,4.0,4.0,900.0,250.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,carbonara_1_5_cups__dinner,3.8461538461538463,0.6153846153846154,0.15267175572519084,0.366412213740458,0.48091603053435117
Chicken Alfredo (1.5 cups),dinner,680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,chicken_alfredo_1_5_cups__dinner,5.147058823529411,0.5882352941176471,0.21148036253776434,0.2719033232628399,0.5166163141993958
Chicken Kebab (2 skewers),dinner,280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,chicken_kebab_2_skewers__dinner,10.714285714285714,1.0714285714285714,0.4316546762589928,0.11510791366906475,0.45323741007194246
Chicken Liver (2 oz cooked),dinner,91.0,13.6,0.6,3.6,0.0,0.0,50.0,320.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,chicken_liver_2_oz_cooked__dinner,14.945054945054945,0.0,0.609865470852018,0.026905829596412557,0.36322869955156956
Chicken Milanesa (1 serving),dinner,450.0,35.0,30.0,22.0,3.0,2.0,700.0,100.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,chicken_milanesa_1_serving__dinner,7.777777777777778,0.6666666666666667,0.3056768558951965,0.26200873362445415,0.43231441048034935
Chicken Noodles,dinner,660.0,30.0,84.0,22.0,5.0,4.0,1020.0,80.0,Sri Lankan - Noodles,1,"Curated regional (Sri Lankan, per serving)",chicken_noodles__dinner,4.545454545454546,0.7575757575757576,0.1834862385321101,0.5137614678899083,0.30275229357798167
Chicken Piccata (1 serving),dinner,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,chicken_piccata_1_serving__dinner,8.571428571428571,0.2857142857142857,0.35294117647058826,0.11764705882352941,0.5294117647058824
Chicken Thigh (1 roasted),dinner,210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,chicken_thigh_1_roasted__dinner,11.428571428571429,0.0,0.4507042253521127,0.0,0.5492957746478874
Chicken Tikka Masala (1.5 cups),dinner,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,chicken_tikka_masala_1_5_cups__dinner,6.25,1.0416666666666665,0.2553191489361702,0.1702127659574468,0.574468085106383
Chimichurri (1 tbsp),dinner,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,chimichurri_1_tbsp__dinner,0.2222222222222222,0.4444444444444444,0.009324009324009324,0.046620046620046623,0.9440559440559441
Chorizo (1 oz in paella),dinner,130.0,6.0,1.0,11.0,0.0,0.5,350.0,30.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,chorizo_1_oz_in_paella__dinner,4.615384615384616,0.0,0.1889763779527559,0.031496062992125984,0.7795275590551181
Chutney (Mango 1 tbsp),dinner,45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,chutney_mango_1_tbsp__dinner,0.2222222222222222,1.1111111111111112,0.00883002207505519,0.9713024282560707,0.019867549668874173
Coconut Milk (1/4 cup canned),dinner,111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,coconut_milk_1_4_cup_canned__dinner,0.9909909909909911,0.45045045045045046,0.036544850498338874,0.09634551495016612,0.867109634551495
Coconut Shrimp (5 pcs),dinner,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,Meal/Seafood,1,Kaggle Daily Food & Nutrition,coconut_shrimp_5_pcs__dinner,3.125,0.9375,0.125,0.3125,0.5625
Cod (4oz baked),dinner,95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,Protein/Fish,1,Kaggle Daily Food & Nutrition,cod_4oz_baked__dinner,21.052631578947366,0.0,0.9174311926605504,0.0,0.08256880733944955
Collard Greens (1 cup cooked),dinner,60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,collard_greens_1_cup_cooked__dinner,8.333333333333332,11.666666666666666,0.2898550724637681,0.5797101449275363,0.13043478260869565
Collard Greens (with ham hock),dinner,180.0,10.0,15.0,9.0,8.0,3.0,600.0,30.0,Vegetable,1,Kaggle Daily Food & Nutrition,collard_greens_with_ham_hock__dinner,5.555555555555555,4.444444444444445,0.22099447513812154,0.3314917127071823,0.44751381215469616
Corn (1 cup),dinner,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,Vegetable,2,Kaggle Daily Food & Nutrition,corn_1_cup__dinner,3.5606060606060606,2.7272727272727275,0.12129032258064516,0.7741935483870968,0.10451612903225806
Corn Tortilla (1 medium),dinner,52.0,1.4,11.2,0.7,1.5,0.2,4.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,corn_tortilla_1_medium__dinner,2.692307692307692,2.8846153846153846,0.09876543209876543,0.7901234567901234,0.11111111111111112
Corn on the Cob (1 large),dinner,125.0,5.0,29.0,1.5,3.0,5.0,2.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,corn_on_the_cob_1_large__dinner,4.0,2.4,0.13377926421404682,0.7759197324414716,0.0903010033444816
Crab Cakes (2 medium),dinner,340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,Meal/Seafood,1,Kaggle Daily Food & Nutrition,crab_cakes_2_medium__dinner,5.88235294117647,0.29411764705882354,0.24096385542168675,0.21686746987951808,0.5421686746987951
Creamed Spinach (1/2 cup),dinner,190.0,5.0,8.0,16.0,3.0,2.0,450.0,50.0,Vegetable,1,Kaggle Daily Food & Nutrition,creamed_spinach_1_2_cup__dinner,2.631578947368421,1.5789473684210527,0.10204081632653061,0.16326530612244897,0.7346938775510204
Crushed Tomatoes (1/2 cup sauce),dinner,20.0,1.0,4.0,0.0,1.5,3.0,200.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,crushed_tomatoes_1_2_cup_sauce__dinner,5.0,7.5,0.2,0.8,0.0
Cucumber Salad (1/2 cup),dinner,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,cucumber_salad_1_2_cup__dinner,2.5,2.5,0.09523809523809523,0.47619047619047616,0.42857142857142855
Cuttlefish Curry (No Rice),dinner,220.0,26.0,7.0,9.0,1.0,2.0,560.0,175.0,Sri Lankan - Curry,1,"Curated regional (Sri Lankan, per serving)",cuttlefish_curry_no_rice__dinner,11.818181818181818,0.45454545454545453,0.48826291079812206,0.13145539906103287,0.38028169014084506
Devilled Chicken (No Rice),dinner,320.0,34.0,12.0,15.0,2.0,6.0,780.0,95.0,Sri Lankan - Devilled,1,"Curated regional (Sri Lankan, per serving)",devilled_chicken_no_rice__dinner,10.625,0.625,0.4263322884012539,0.15047021943573669,0.4231974921630094
Devilled Chicken with Rice,dinner,680.0,40.0,78.0,22.0,4.0,7.0,1150.0,105.0,Sri Lankan - Rice & Devilled,1,"Curated regional (Sri Lankan, per serving)",devilled_chicken_with_rice__dinner,5.88235294117647,0.5882352941176471,0.23880597014925373,0.46567164179104475,0.2955223880597015
Dhal Curry with Red Rice,dinner,560.0,18.0,94.0,11.0,11.0,4.0,600.0,0.0,Sri Lankan - Rice & Curry,1,"Curated regional (Sri Lankan, per serving)",dhal_curry_with_red_rice__dinner,3.214285714285714,1.9642857142857142,0.1316270566727605,0.6873857404021938,0.1809872029250457
Duck (3oz roasted),dinner,285.0,16.0,0.0,24.0,0.0,0.0,65.0,72.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,duck_3oz_roasted__dinner,5.614035087719298,0.0,0.22857142857142856,0.0,0.7714285714285715
Egg Curry (No Rice),dinner,250.0,14.0,8.0,18.0,2.0,3.0,430.0,372.0,Sri Lankan - Curry,1,"Curated regional (Sri Lankan, per serving)",egg_curry_no_rice__dinner,5.6000000000000005,0.8,0.224,0.128,0.648
Egg Drop Soup (1 cup),dinner,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,Meal/Vegetable,1,Kaggle Daily Food & Nutrition,egg_drop_soup_1_cup__dinner,7.6923076923076925,0.7692307692307693,0.3225806451612903,0.3870967741935484,0.2903225806451613
Egg Noodles (1 cup cooked),dinner,220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,Grain,1,Kaggle Daily Food & Nutrition,egg_noodles_1_cup_cooked__dinner,3.6363636363636362,0.9090909090909091,0.1461187214611872,0.730593607305936,0.1232876712328767
Egg Yolk (1 large in sauce),dinner,55.0,2.7,0.6,4.5,0.0,0.3,8.0,184.0,Protein,1,Kaggle Daily Food & Nutrition,egg_yolk_1_large_in_sauce__dinner,4.909090909090909,0.0,0.2011173184357542,0.04469273743016759,0.7541899441340781
Eggplant (1/2 cup in caponata),dinner,40.0,0.5,6.0,2.0,2.0,3.0,150.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,eggplant_1_2_cup_in_caponata__dinner,1.25,5.0,0.045454545454545456,0.5454545454545454,0.4090909090909091
Fiorentina Steak (3oz portion),dinner,230.0,24.0,0.0,15.0,0.0,0.0,60.0,75.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,fiorentina_steak_3oz_portion__dinner,10.434782608695652,0.0,0.4155844155844156,0.0,0.5844155844155844
Fish Ambul Thiyal with Rice,dinner,580.0,34.0,80.0,12.0,4.0,2.0,740.0,60.0,Sri Lankan - Rice & Curry,1,"Curated regional (Sri Lankan, per serving)",fish_ambul_thiyal_with_rice__dinner,5.862068965517241,0.6896551724137931,0.24113475177304963,0.5673758865248227,0.19148936170212766
Fish Tacos (2 tacos),dinner,420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,Meal/Fish,1,Kaggle Daily Food & Nutrition,fish_tacos_2_tacos__dinner,5.952380952380952,1.4285714285714286,0.23696682464454977,0.3791469194312796,0.38388625592417064
"Fish, haddock, raw",dinner,74.0,16.3,0.0,0.45,0.0,0.0,213.0,54.0,USDA,1,USDA FoodData Central (per 100 g),fish_haddock_raw__dinner,22.027027027027028,0.0,0.9415162454873647,0.0,0.05848375451263538
"Fish, pollock, raw",dinner,56.0,12.3,0.0,0.41,0.0,0.0,333.0,46.0,USDA,1,USDA FoodData Central (per 100 g),fish_pollock_raw__dinner,21.964285714285715,0.0,0.930232558139535,0.0,0.06976744186046512
"Fish, tuna, light, canned in water, drained solids",dinner,90.0,19.0,0.08,0.94,0.0,0.0,219.0,36.0,USDA,1,USDA FoodData Central (per 100 g),fish_tuna_light_canned_in_water_drained_solids__dinner,21.11111111111111,0.0,0.8964378391129985,0.0037744751120547307,0.09978768577494693
"Frankfurter, beef, unheated",dinner,314.0,11.7,2.89,28.0,0.0,0.0,872.0,0.0,USDA,1,USDA FoodData Central (per 100 g),frankfurter_beef_unheated__dinner,3.7261146496815285,0.0,0.15079262791596854,0.03724706792112386,0.8119603041629075
French Bread (2 slices),dinner,180.0,6.0,36.0,1.0,2.0,2.0,380.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,french_bread_2_slices__dinner,3.3333333333333335,1.1111111111111112,0.13559322033898305,0.8135593220338984,0.05084745762711865
French Fries (as side),dinner,200.0,2.0,25.0,10.0,2.0,0.2,130.0,0.0,Vegetable/Processed,1,Kaggle Daily Food & Nutrition,french_fries_as_side__dinner,1.0,1.0,0.04040404040404041,0.5050505050505051,0.45454545454545453
French Fries (medium),dinner,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,Vegetable/Processed,1,Kaggle Daily Food & Nutrition,french_fries_medium__dinner,1.1764705882352942,1.1764705882352942,0.0463768115942029,0.5101449275362319,0.4434782608695652
French Fries (side),dinner,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,Vegetable/Processed,1,Kaggle Daily Food & Nutrition,french_fries_side__dinner,1.1764705882352942,1.1764705882352942,0.0463768115942029,0.5101449275362319,0.4434782608695652
Fresh Mozzarella (1 oz),dinner,72.0,5.0,0.8,5.0,0.0,0.3,138.0,22.0,Dairy,1,Kaggle Daily Food & Nutrition,fresh_mozzarella_1_oz__dinner,6.944444444444445,0.0,0.29325513196480935,0.0469208211143695,0.6598240469208211
Fried Okra (1 cup),dinner,220.0,4.0,25.0,12.0,5.0,3.0,450.0,10.0,Vegetable,1,Kaggle Daily Food & Nutrition,fried_okra_1_cup__dinner,1.8181818181818181,2.272727272727273,0.07142857142857142,0.44642857142857145,0.48214285714285715
Garlic Bread (1 slice),dinner,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,Grain,2,Kaggle Daily Food & Nutrition,garlic_bread_1_slice__dinner,2.666666666666667,0.6666666666666667,0.10596026490066225,0.4768211920529801,0.41721854304635764
Garlic Sauce (Toum 1 tbsp),dinner,90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,garlic_sauce_toum_1_tbsp__dinner,0.1111111111111111,0.0,0.00423728813559322,0.0423728813559322,0.9533898305084745
Gnocchi (1 cup),dinner,210.0,4.5,45.0,1.5,3.0,2.0,480.0,0.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,gnocchi_1_cup__dinner,2.142857142857143,1.4285714285714286,0.0851063829787234,0.851063829787234,0.06382978723404255
Gnocchi alla Sorrentina (1.5 cups),dinner,450.0,15.0,60.0,18.0,6.0,9.0,800.0,40.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,gnocchi_alla_sorrentina_1_5_cups__dinner,3.3333333333333335,1.3333333333333335,0.12987012987012986,0.5194805194805194,0.35064935064935066
Gochujang (1 tbsp),dinner,30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,gochujang_1_tbsp__dinner,1.6666666666666667,1.6666666666666667,0.07692307692307693,0.9230769230769231,0.0
Godamba Roti with Chicken Curry,dinner,640.0,28.0,72.0,26.0,5.0,3.0,880.0,75.0,Sri Lankan - Flatbread & Curry,1,"Curated regional (Sri Lankan, per serving)",godamba_roti_with_chicken_curry__dinner,4.375,0.78125,0.17665615141955837,0.45425867507886436,0.36908517350157727
Gorgonzola Cheese (1 oz),dinner,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Dairy,1,Kaggle Daily Food & Nutrition,gorgonzola_cheese_1_oz__dinner,6.0,0.0,0.24291497975708504,0.02834008097165992,0.728744939271255
Green Beans (1 cup),dinner,31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,green_beans_1_cup__dinner,5.806451612903226,8.709677419354838,0.1945945945945946,0.7567567567567568,0.04864864864864865
Green Curry Paste (1 tbsp),dinner,30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,green_curry_paste_1_tbsp__dinner,1.6666666666666667,3.3333333333333335,0.06153846153846154,0.24615384615384617,0.6923076923076923
Green Peas (1/2 cup),dinner,62.0,4.1,11.1,0.2,4.4,4.2,2.0,0.0,Legume,1,Kaggle Daily Food & Nutrition,green_peas_1_2_cup__dinner,6.61290322580645,7.096774193548387,0.26198083067092653,0.7092651757188498,0.028753993610223644
Grilled Seer Fish (Thora),dinner,190.0,30.0,0.0,8.0,0.0,0.0,320.0,62.0,Sri Lankan - Grilled Fish,1,"Curated regional (Sri Lankan, per serving)",grilled_seer_fish_thora__dinner,15.789473684210526,0.0,0.625,0.0,0.375
Ground Beef (2 oz in sauce),dinner,140.0,11.0,0.0,10.0,0.0,0.0,40.0,35.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,ground_beef_2_oz_in_sauce__dinner,7.857142857142857,0.0,0.3283582089552239,0.0,0.6716417910447762
Guacamole (1/4 cup),dinner,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,Vegetable/Condiment,2,Kaggle Daily Food & Nutrition,guacamole_1_4_cup__dinner,1.1111111111111112,3.3333333333333335,0.043478260869565216,0.17391304347826086,0.782608695652174
Guanciale (1 oz),dinner,170.0,3.0,0.0,18.0,0.0,0.0,450.0,35.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,guanciale_1_oz__dinner,1.7647058823529411,0.0,0.06896551724137931,0.0,0.9310344827586207
Gyro (1 sandwich),dinner,600.0,25.0,55.0,30.0,5.0,6.0,1200.0,80.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,gyro_1_sandwich__dinner,4.166666666666666,0.8333333333333334,0.1694915254237288,0.3728813559322034,0.4576271186440678
Halibut (4oz baked),dinner,125.0,24.0,0.0,2.5,0.0,0.0,60.0,40.0,Protein/Fish,1,Kaggle Daily Food & Nutrition,halibut_4oz_baked__dinner,19.2,0.0,0.810126582278481,0.0,0.189873417721519
Hoisin Sauce (1 tbsp),dinner,35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,hoisin_sauce_1_tbsp__dinner,0.8571428571428572,0.2857142857142857,0.03428571428571429,0.9142857142857143,0.05142857142857143
Hollandaise Sauce (1 tbsp),dinner,55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,Condiment,1,Kaggle Daily Food & Nutrition,hollandaise_sauce_1_tbsp__dinner,0.9090909090909091,0.0,0.035211267605633804,0.014084507042253523,0.9507042253521127
Italian Sausage (1 link),dinner,200.0,12.0,3.0,16.0,0.0,1.0,550.0,50.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,italian_sausage_1_link__dinner,6.0,0.0,0.23529411764705882,0.058823529411764705,0.7058823529411765
Jasmine Rice (1 cup cooked),dinner,205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,jasmine_rice_1_cup_cooked__dinner,2.0975609756097557,0.2926829268292683,0.0856573705179283,0.8964143426294822,0.017928286852589643
Kale (1 cup in soup),dinner,33.0,2.9,6.0,0.6,2.0,1.0,29.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,kale_1_cup_in_soup__dinner,8.787878787878787,6.0606060606060606,0.28292682926829266,0.5853658536585366,0.1317073170731707
Kimchi Jjigae (1 bowl),dinner,350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,Meal/Soup,1,Kaggle Daily Food & Nutrition,kimchi_jjigae_1_bowl__dinner,4.285714285714286,1.4285714285714286,0.17751479289940827,0.23668639053254437,0.5857988165680473
Lasagna (1 serving meat),dinner,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Meal/Pasta,2,Kaggle Daily Food & Nutrition,lasagna_1_serving_meat__dinner,5.714285714285714,1.1428571428571428,0.22662889518413598,0.33994334277620397,0.43342776203966005
Lobster (3oz steamed),dinner,76.0,16.0,0.0,0.7,0.0,0.0,250.0,125.0,Protein/Seafood,1,Kaggle Daily Food & Nutrition,lobster_3oz_steamed__dinner,21.052631578947366,0.0,0.9103840682788051,0.0,0.08961593172119488
